code,name,alpha,neg_days,avg_amount
600320.SH,振华重工,1.1651047623293625e-09,13,187789414.81400004
600967.SH,内蒙一机,1.1591429886398806e-09,10,192548928.23299998
600779.SH,水井坊,1.159067963000953e-09,10,305194988.2375001
600282.SH,南钢股份,1.1500944298983434e-09,11,192954084.658
600635.SH,大众公用,1.1427353412812538e-09,13,382395422.614
600873.SH,梅花生物,1.1388790549138846e-09,14,233960919.477
600758.SH,辽宁能源,1.1323557694697898e-09,14,603577561.8230001
603565.SH,中谷物流,1.132008367061824e-09,7,158735479.282
601059.SH,信达证券,1.1296035951308981e-09,14,202806367.1665
600770.SH,综艺股份,1.1202893741217648e-09,9,233630361.504
600606.SH,绿地控股,1.1146574613130802e-09,13,192161382.7835
600293.SH,三峡新材,1.109435897663542e-09,10,477278984.5845
601136.SH,首创证券,1.1069979493777627e-09,11,185208819.84100002
600535.SH,天士力,1.100944835987353e-09,11,123571585.44649999
600933.SH,爱柯迪,1.0982261274950353e-09,16,233231295.34050003
600072.SH,中船科技,1.0792909892492432e-09,15,284845353.0345
601298.SH,青岛港,1.0724579178234232e-09,11,163325262.32100004
600562.SH,国睿科技,1.0705985806870288e-09,11,196250407.2705
600630.SH,龙头股份,1.0651869116291982e-09,7,212219266.0785
603175.SH,超颖电子,1.0604329740607397e-09,13,436928477.81850004
600339.SH,中油工程,1.0354262743115213e-09,12,250475199.9135
600116.SH,三峡水利,1.0338467238853157e-09,11,229009170.54000002
601865.SH,福莱特,1.0325433981519345e-09,13,210177453.14749998
601222.SH,林洋能源,1.0151854831646566e-09,10,286661444.858
600877.SH,电科芯片,1.0073372189977526e-09,11,309053841.81600004
603338.SH,浙江鼎力,1.0007958051752861e-09,14,240633724.01500002
601106.SH,中国一重,9.984185434948599e-10,10,216149937.304
600388.SH,龙净环保,9.921874821478518e-10,12,273066075.173
601866.SH,中远海发,9.915140638481823e-10,9,180327804.80800003
600032.SH,浙江新能,9.914348890340948e-10,12,645515007.1005001
600737.SH,中粮糖业,9.90343064194297e-10,13,456650521.809
600916.SH,中国黄金,9.73379280952782e-10,13,209412253.63599998
600085.SH,同仁堂,9.70494897684724e-10,13,178928137.8875
600575.SH,淮河能源,9.596394478110514e-10,13,401631225.59749997
601880.SH,辽港股份,9.559712703945633e-10,12,155652783.9115
600435.SH,北方导航,9.4079516906312e-10,10,269774185.3235
601069.SH,西部黄金,9.336715309470322e-10,11,441992681.07650006
600361.SH,创新新材,9.146069613508462e-10,11,346391526.954
600398.SH,海澜之家,9.107538155021462e-10,11,146362712.98999998
600998.SH,九州通,9.077816818046575e-10,9,132412793.47350001
600970.SH,中材国际,9.033605776678067e-10,9,194251003.29549998
600152.SH,维科技术,9.020175000441133e-10,13,410857539.074
600521.SH,华海药业,8.961023771022279e-10,14,267538321.92349997
600754.SH,锦江酒店,8.940495091998087e-10,13,253615088.59900004
600776.SH,东方通信,8.86797147046566e-10,11,468773575.2685
600369.SH,西南证券,8.861334981264389e-10,11,172107906.48950002
601567.SH,三星电气,8.693606221884522e-10,13,367036032.5345
600316.SH,洪都航空,8.691117110485869e-10,16,301869576.74149996
600505.SH,西昌电力,8.614774245205246e-10,12,389584488.8705
601608.SH,中信重工,8.580993587253479e-10,13,287744630.55649996
600968.SH,海油发展,8.572654234743979e-10,11,188246119.97499996
600529.SH,山东药玻,8.555713529968394e-10,11,243651580.236
600593.SH,大连圣亚,8.532139797492917e-10,9,267425961.5605
600100.SH,同方股份,8.50363609205994e-10,12,284545573.9785
600918.SH,中泰证券,8.488043244372492e-10,12,247372389.992
600292.SH,电投水电,8.466759062604105e-10,11,277397488.3825
600377.SH,宁沪高速,8.423027733154856e-10,11,142180453.35
601808.SH,中海油服,8.404425250943421e-10,15,232356505.76799998
600511.SH,国药股份,8.396706440997134e-10,11,116021261.6355
600108.SH,亚盛集团,8.294473948488176e-10,12,438410770.26400006
600198.SH,大唐电信,8.27560919986969e-10,9,476083302.5705
600702.SH,舍得酒业,8.254270159049854e-10,12,383568788.3625001
600872.SH,中炬高新,8.209488150341622e-10,13,234379922.465
600310.SH,广西能源,8.208551023536464e-10,15,863350997.9224999
600901.SH,江苏金租,8.183878668684841e-10,9,225144347.973
601156.SH,东航物流,8.098832074569381e-10,8,167527194.26749998
600332.SH,白云山,8.053665504819534e-10,10,171898283.0455
601717.SH,中创智领,7.960318751166464e-10,12,382066064.1309999
603606.SH,东方电缆,7.91815269758006e-10,13,770974092.6005
603486.SH,科沃斯,7.907327880360308e-10,15,440509150.99349993
600590.SH,泰豪科技,7.872723220142005e-10,14,637819321.386
600619.SH,海立股份,7.853746075465517e-10,15,320461746.51399994
600153.SH,建发股份,7.646604085709577e-10,11,210705319.06950003
600323.SH,瀚蓝环境,7.601287690586915e-10,12,206182442.839
603000.SH,人民网,7.596819163534311e-10,13,298763346.07350004
600583.SH,海油工程,7.532532293136263e-10,10,228854888.50350004
600121.SH,郑州煤电,7.490248783910051e-10,10,660250171.6545
600572.SH,康恩贝,7.447815922426746e-10,10,120883148.1075
600038.SH,中直股份,7.365952223999227e-10,11,215296691.95699996
601101.SH,昊华能源,7.362759895659177e-10,10,696735468.6279999
600685.SH,中船防务,7.361050555555451e-10,14,282466502.15250003
600871.SH,石化油服,7.336173733001732e-10,12,290832931.39699996
603129.SH,春风动力,7.323243323595837e-10,11,408533976.243
600039.SH,四川路桥,7.307038278545448e-10,9,194931088.30949998
601018.SH,宁波港,7.259774601908865e-10,10,211620078.43550003
600151.SH,航天机电,7.218211709221892e-10,13,720193889.4175
601799.SH,星宇股份,7.156649342697499e-10,13,467696991.53950006
600763.SH,通策医疗,7.130630120078463e-10,11,247452056.714
600203.SH,福日电子,7.117610100955658e-10,12,533449708.4355
600515.SH,海南机场,7.103215932860185e-10,11,301794052.066
601611.SH,中国核建,7.056750621688351e-10,12,463583423.495
600499.SH,科达制造,7.016430288748548e-10,12,400093383.031
600996.SH,贵广网络,7.013141667631256e-10,11,457727933.77699995
601133.SH,柏诚股份,7.002319729509136e-10,12,777587181.3695
600783.SH,鲁信创投,6.971203237228788e-10,12,740894652.088
600208.SH,衢州发展,6.933820257922951e-10,13,226011477.32750002
603341.SH,龙旗科技,6.927445176079733e-10,10,468204133.4995
600078.SH,澄星股份,6.911464932591128e-10,11,706475598.0234998
600098.SH,广州发展,6.900810147302839e-10,8,365159636.1084999
600009.SH,上海机场,6.900170596113574e-10,13,342264987.4355
600486.SH,扬农化工,6.866621898396958e-10,11,368877657.5655
600126.SH,杭钢股份,6.857600985770762e-10,13,423362254.6564999
600452.SH,涪陵电力,6.774837567866032e-10,14,705179713.692
600177.SH,雅戈尔,6.653663329069316e-10,10,164273440.83749998
600765.SH,中航重机,6.58363737159444e-10,13,249024686.76099998
600536.SH,中国软件,6.46655289386623e-10,12,618759114.6485001
600348.SH,华阳股份,6.416368603957454e-10,10,427405034.7725
600595.SH,中孚实业,6.334085043433795e-10,13,660160214.654
601128.SH,常熟银行,6.300794661203608e-10,12,296405916.27900004
603077.SH,和邦生物,6.2270351088467e-10,9,381445499.1515
601118.SH,海南橡胶,6.220101948497564e-10,10,438385287.206
601997.SH,贵阳银行,6.180067538964091e-10,14,257614184.896
601607.SH,上海医药,6.1549608402837e-10,11,149592309.1695
603605.SH,珀莱雅,6.116644620292574e-10,14,462254947.43999994
600598.SH,北大荒,6.107837287052345e-10,13,243644528.63599998
600688.SH,上海石化,6.099276311467547e-10,9,543092970.612
603160.SH,汇顶科技,6.095649198920536e-10,13,515248320.7299999
600588.SH,用友网络,6.086911756850125e-10,12,567477165.386
601216.SH,君正集团,6.068496671983945e-10,13,318067456.3945
601198.SH,东兴证券,6.068248531099425e-10,9,298972107.09400004
601577.SH,长沙银行,6.06428645055845e-10,10,189904382.64949998
600061.SH,国投资本,6.057224756696575e-10,9,282707190.88
601399.SH,国机重装,5.981388015500751e-10,11,340016967.785
600769.SH,祥龙电业,5.977216009454799e-10,7,448094082.18100005
601020.SH,华钰矿业,5.96762062139711e-10,12,842961955.3284999
