date,open,close,high,low,change_pct,turnover_pct,amplitude_pct,ratio,vol_shou,amount_yuan,direction,price_position
2025-11-27,85.47,87.3,93.48,84.76,1.94,6.85,10.18,3.5309278350515463,278525.0,2451651587.0,上涨,2.851171228014827
2025-11-27,85.47,87.3,93.48,84.76,1.94,6.85,10.18,3.5309278350515463,278525.0,2451651587.0,上涨,2.851171228014827
2025-11-28,85.0,87.08,90.96,84.5,-0.25,4.91,7.4,19.64,199664.0,1733446165.0,下跌,2.807792412650839
2025-11-28,85.0,87.08,90.96,84.5,-0.25,4.91,7.4,19.64,199664.0,1733446165.0,下跌,2.807792412650839
2025-12-01,87.12,85.57,87.48,85.08,-1.73,3.07,2.76,1.7745664739884393,124769.0,1070471947.0,下跌,2.5100559981071044
2025-12-01,87.12,85.57,87.48,85.08,-1.73,3.07,2.76,1.7745664739884393,124769.0,1070471947.0,下跌,2.5100559981071044
2025-12-02,84.0,83.11,84.6,82.44,-2.87,2.66,2.52,0.926829268292683,108247.0,902738108.0,下跌,2.0250019717643344
2025-12-02,84.0,83.11,84.6,82.44,-2.87,2.66,2.52,0.926829268292683,108247.0,902738108.0,下跌,2.0250019717643344
2025-12-03,83.57,83.02,85.4,82.67,-0.11,2.55,3.28,23.18181818181818,103528.0,869222653.0,下跌,2.007256092751793
2025-12-03,83.57,83.02,85.4,82.67,-0.11,2.55,3.28,23.18181818181818,103528.0,869222653.0,下跌,2.007256092751793
2025-12-04,81.56,82.64,83.68,80.6,-0.46,2.26,3.71,4.913043478260869,91787.0,755032377.0,下跌,1.9323290480321789
2025-12-04,81.56,82.64,83.68,80.6,-0.46,2.26,3.71,4.913043478260869,91787.0,755032377.0,下跌,1.9323290480321789
2025-12-05,82.4,83.63,84.93,80.78,1.2,2.82,5.02,2.35,114775.0,956932715.0,上涨,2.1275337171701225
2025-12-05,82.4,83.63,84.93,80.78,1.2,2.82,5.02,2.35,114775.0,956932715.0,上涨,2.1275337171701225
2025-12-08,83.65,88.31,91.5,83.64,5.6,5.56,9.4,0.9928571428571429,225761.0,1992249252.0,上涨,3.0503194258222255
2025-12-08,83.65,88.31,91.5,83.64,5.6,5.56,9.4,0.9928571428571429,225761.0,1992249252.0,上涨,3.0503194258222255
2025-12-09,88.38,89.48,91.03,87.81,1.32,4.82,3.65,3.6515151515151514,195751.0,1752723268.0,上涨,3.2810158529852513
2025-12-09,88.38,89.48,91.03,87.81,1.32,4.82,3.65,3.6515151515151514,195751.0,1752723268.0,上涨,3.2810158529852513
2025-12-10,88.93,98.43,98.43,87.57,10.0,7.62,12.14,0.762,309789.0,2898314319.0,上涨,5.045744932565661
2025-12-10,88.93,98.43,98.43,87.57,10.0,7.62,12.14,0.762,309789.0,2898314319.0,上涨,5.045744932565661
2025-12-11,102.0,101.27,106.06,95.96,2.89,8.16,10.26,2.8235294117647056,331745.0,3387586911.0,上涨,5.605726003628045
2025-12-11,102.0,101.27,106.06,95.96,2.89,8.16,10.26,2.8235294117647056,331745.0,3387586911.0,上涨,5.605726003628045
2025-12-12,98.97,105.72,108.0,98.5,4.39,6.75,9.38,1.5375854214123008,274148.0,2843963628.0,上涨,6.483161132581433
2025-12-12,98.97,105.72,108.0,98.5,4.39,6.75,9.38,1.5375854214123008,274148.0,2843963628.0,上涨,6.483161132581433
2025-12-15,101.39,95.15,101.4,95.15,-10.0,5.13,5.91,0.513,208289.0,2009841386.0,下跌,4.399006230775298
