A股全量股票涨跌幅排行榜
基准日期: 2026-06-25  截止日期: 2026-07-14  生成时间: 2026-07-14 09:14:06
有效股票数: 5,194  上涨: 1,402  下跌: 3,769  中位数: -5.77%  平均: -6.45%
最大涨幅: +127.43%  最大跌幅: -54.61%

+-------+---------+-------------+---------------+-----------+-----------+-----------+-----------+---------+---------+-------+-------+------+---------+
|  排名  |   代码   |     名称     |      行业      |   总市值   |  基准日价  |   当前价   |   涨跌幅   |  前导天  |  天数比  |  风险  |  机会  | 象限  |    PE    |
|    131 |  301511  | 德福科技     | 未知           |      387亿 |     152.55 |     103.36 |    -32.25% |       20 |     1.7x |     50 |     66 |   G   |    269.7 |
|    132 |  300292  | 吴通控股     | 未知           |       46亿 |       6.11 |       4.14 |    -32.24% |       54 |     4.5x |     64 |     56 |   Y   |     45.0 |
|    133 |  000969  | 安泰科技     | 未知           |      187亿 |      26.53 |      17.98 |    -32.23% |       53 |     4.4x |     64 |     56 |   Y   |     49.5 |
|    134 |  603527  | 众源新材     | 未知           |       30亿 |      14.08 |       9.55 |    -32.17% |       50 |     4.2x |     64 |     56 |   Y   |    102.9 |
|    135 |  002580  | 圣阳股份     | 未知           |       78亿 |      25.28 |      17.15 |    -32.16% |       50 |     4.2x |     67 |     51 |   Y   |     41.8 |
|    136 |  301468  | 博盈特焊     | 未知           |       33亿 |      50.25 |      34.10 |    -32.14% |       53 |     4.4x |     67 |     56 |   Y   |    119.0 |
|    137 |  301041  | 金百泽       | 未知           |       20亿 |      36.65 |      24.89 |    -32.09% |       49 |     4.1x |     64 |     56 |   Y   |    118.5 |
|    138 |  000636  | 风华高科     | 未知           |      625亿 |      79.52 |      54.01 |    -32.08% |        8 |     0.7x |     42 |     66 |   G   |    203.3 |
|    139 |  300769  | 德方纳米     | 未知           |      121亿 |      70.99 |      48.23 |    -32.06% |       38 |     3.2x |     57 |     50 |   Y   |     亏损 |
|    140 |  301139  | *ST元道      | 未知           |        2亿 |       4.43 |       3.01 |    -32.05% |       24 |     2.0x |     50 |     66 |   G   |     亏损 |
|    141 |  688559  | 海目星       | 未知           |      137亿 |      81.45 |      55.35 |    -32.04% |        8 |     0.7x |     42 |     72 |   G   |     亏损 |
|    142 |  001223  | 欧克科技     | 未知           |       24亿 |      50.47 |      34.31 |    -32.02% |       47 |     3.9x |     57 |     56 |   Y   |    144.2 |
|    143 |  603588  | 高能环境     | 未知           |      203亿 |      19.60 |      13.33 |    -31.99% |        6 |     0.5x |     36 |     66 |   G   |     16.7 |
|    144 |  688388  | 嘉元科技     | 未知           |      203亿 |      45.19 |      30.75 |    -31.95% |       11 |     0.9x |     42 |     78 |   G   |    132.6 |
|    145 |  300716  | *ST泉为      | 未知           |       26亿 |      23.62 |      16.08 |    -31.92% |       12 |     1.0x |     46 |     61 |   G   |     亏损 |
|    146 |  300252  | 金信诺       | 未知           |       71亿 |      18.62 |      12.68 |    -31.90% |       46 |     3.8x |     57 |     50 |   Y   |    268.8 |
|    147 |  688337  | 普源精电     | 未知           |       92亿 |      72.54 |      49.40 |    -31.90% |       47 |     3.9x |     57 |     56 |   Y   |    102.4 |
|    148 |  600397  | 江钨装备     | 未知           |      173亿 |      25.68 |      17.50 |    -31.85% |        5 |     0.4x |     36 |     62 |   G   |     亏损 |
|    149 |  605058  | 澳弘电子     | 未知           |       37亿 |      38.31 |      26.11 |    -31.85% |      121 |    10.1x |     64 |     56 |   Y   |     25.1 |
|    150 |  600500  | 中化国际     | 未知           |      212亿 |       8.64 |       5.90 |    -31.71% |       10 |     0.8x |     42 |     78 |   G   |     亏损 |
|    151 |  603256  | 宏和科技     | 未知           |     1663亿 |     276.76 |     189.00 |    -31.71% |        8 |     0.7x |     42 |     66 |   G   |    549.2 |
|    152 |  300408  | 三环集团     | 未知           |     2090亿 |     163.62 |     111.80 |    -31.67% |       12 |     1.0x |     42 |     66 |   G   |     77.3 |
|    153 |  301055  | 张小泉       | 未知           |       48亿 |      46.36 |      31.68 |    -31.67% |        7 |     0.6x |     44 |     66 |   G   |     69.4 |
|    154 |  301377  | 鼎泰高科     | 未知           |      433亿 |     640.50 |     437.70 |    -31.66% |        8 |     0.7x |     44 |     72 |   G   |    298.6 |
|    155 |  002171  | 楚江新材     | 未知           |      173亿 |      15.71 |      10.74 |    -31.64% |       16 |     1.3x |     50 |     78 |   G   |     44.5 |
|    156 |  300620  | 光库科技     | 未知           |      669亿 |     395.46 |     270.76 |    -31.53% |        8 |     0.7x |     46 |     56 |   G   |    320.4 |
|    157 |  002263  | 大东南       | 未知           |       51亿 |       3.94 |       2.70 |    -31.47% |     >237 |    19.8x |     70 |     58 |   Y   |    279.8 |
|    158 |  600630  | 龙头股份     | 未知           |       28亿 |       9.47 |       6.49 |    -31.47% |     >237 |    19.8x |     70 |     47 |   R   |     51.4 |
|    159 |  603002  | 宏昌电子     | 未知           |      194亿 |      24.95 |      17.10 |    -31.46% |        8 |     0.7x |     42 |     72 |   G   |    660.0 |
