time,equity,cash,position,price,unfinished_abs,occupied
2026-05-29T10:15:00,177592.2245,177592.2245,0,369.1,200,77702.0
2026-05-29T10:16:00,177592.2245,177592.2245,0,367.5,200,77702.0
2026-05-29T10:17:00,177592.2245,177592.2245,0,369.5,200,77702.0
2026-05-29T10:18:00,177592.2245,177592.2245,0,367.68,200,77702.0
2026-05-29T10:19:00,177592.2245,177592.2245,0,367.34,200,77702.0
2026-05-29T10:20:00,177592.2245,177592.2245,0,368.97,200,77702.0
2026-05-29T10:21:00,177592.2245,177592.2245,0,370.91,200,77702.0
2026-05-29T10:22:00,177592.2245,177592.2245,0,374.78,200,77702.0
2026-05-29T10:23:00,177592.2245,177592.2245,0,374.37,200,77702.0
2026-05-29T10:24:00,177592.2245,177592.2245,0,374.02,200,77702.0
2026-05-29T10:25:00,177592.2245,177592.2245,0,376.0,200,77702.0
2026-05-29T10:26:00,177592.2245,177592.2245,0,374.34,200,77702.0
2026-05-29T10:27:00,177592.2245,177592.2245,0,376.18,200,77702.0
2026-05-29T10:28:00,177592.2245,177592.2245,0,379.4,200,77702.0
2026-05-29T10:29:00,177592.2245,177592.2245,0,378.99,200,77702.0
2026-05-29T10:30:00,177592.2245,177592.2245,0,384.02,200,77702.0
2026-05-29T10:31:00,177592.2245,177592.2245,0,384.9,200,77702.0
2026-05-29T10:32:00,177592.2245,177592.2245,0,388.19,200,77879.0
2026-05-29T10:33:00,177592.2245,177592.2245,0,388.83,200,77943.0
2026-05-29T10:34:00,177592.2245,177592.2245,0,389.21,200,77981.0
2026-05-29T10:35:00,177592.2245,177592.2245,0,391.0,200,78200.0
2026-05-29T10:36:00,177592.2245,177592.2245,0,392.29,200,78458.0
2026-05-29T10:37:00,177592.2245,177592.2245,0,392.0,200,78400.0
2026-05-29T10:38:00,177592.2245,177592.2245,0,390.12,200,78072.0
2026-05-29T10:39:00,177592.2245,177592.2245,0,393.33,200,78666.0
2026-05-29T10:40:00,177592.2245,177592.2245,0,392.35,200,78470.0
2026-05-29T10:41:00,177592.2245,177592.2245,0,393.4,200,78680.0
2026-05-29T10:42:00,177592.2245,177592.2245,0,396.77,200,79354.0
2026-05-29T10:43:00,177592.2245,177592.2245,0,397.64,200,79528.0
2026-05-29T10:44:00,177592.2245,177592.2245,0,399.99,200,79998.0
2026-05-29T10:45:00,177592.2245,177592.2245,0,395.0,200,79000.0
2026-05-29T10:46:00,177592.2245,177592.2245,0,392.5,200,78500.0
2026-05-29T10:47:00,177592.2245,177592.2245,0,389.98,200,78058.0
2026-05-29T10:48:00,177592.2245,177592.2245,0,390.83,200,78166.0
2026-05-29T10:49:00,177592.2245,177592.2245,0,390.32,200,78092.0
2026-05-29T10:50:00,177592.2245,177592.2245,0,392.01,200,78402.0
