date,open,close,high,low,vol
2024-12-13,28.032,27.732,28.202,27.682,23720.0
2024-12-16,28.002,27.642,28.422,27.582,47023.0
2024-12-17,27.712,27.702,28.112,27.372,36054.0
2024-12-18,27.582,27.962,28.262,27.452,31477.0
2024-12-19,27.752,30.782,30.782,27.642,171473.0
2024-12-20,30.332,29.802,30.722,29.532,174720.0
2024-12-23,29.802,29.442,30.422,29.282,99980.0
2024-12-24,29.732,30.242,31.312,29.632,122189.0
2024-12-25,30.042,30.522,30.822,29.512,95526.0
2024-12-26,30.142,32.022,32.332,29.782,169815.0
2024-12-27,31.412,31.302,32.082,31.062,135226.0
2024-12-30,31.662,31.512,32.052,31.012,89981.0
2024-12-31,31.202,29.622,31.252,29.602,98526.0
2025-01-02,29.462,28.252,29.772,27.922,67119.0
2025-01-03,28.392,27.422,28.602,27.232,61617.0
2025-01-06,27.682,27.382,28.332,27.042,42547.0
2025-01-07,27.282,28.522,28.982,27.202,61611.0
2025-01-08,28.572,29.172,29.682,28.102,76286.0
2025-01-09,28.412,28.542,29.182,28.412,45518.0
2025-01-10,28.382,27.222,28.522,27.182,47012.0
2025-01-13,26.962,26.372,26.972,26.242,35533.0
2025-01-14,26.602,28.142,28.192,26.342,51165.0
2025-01-15,27.932,29.492,30.542,27.862,94418.0
2025-01-16,29.492,29.482,29.732,28.962,48976.0
2025-01-17,29.472,29.792,29.882,29.042,47226.0
2025-01-20,30.212,29.742,30.282,29.432,47962.0
2025-01-21,30.032,30.152,30.322,29.732,46066.0
2025-01-22,29.992,31.422,31.852,29.992,114020.0
2025-01-23,31.452,34.592,34.592,31.382,120409.0
2025-01-24,35.012,38.082,38.082,34.782,142408.0
2025-01-27,41.922,41.532,41.922,40.662,389329.0
2025-02-05,37.772,37.352,38.532,37.352,37063.0
2025-02-06,34.732,39.132,39.872,33.592,364719.0
2025-02-07,37.932,39.392,40.222,37.592,253127.0
2025-02-10,39.232,39.252,40.082,38.542,157431.0
2025-02-11,39.122,38.992,40.922,38.722,143156.0
2025-02-12,39.072,39.302,39.922,38.312,122993.0
2025-02-13,39.032,37.612,39.352,37.532,113568.0
2025-02-14,37.632,37.792,38.532,37.332,75422.0
2025-02-17,37.332,37.132,37.842,36.672,91662.0
2025-02-18,37.132,36.432,37.612,36.162,69028.0
2025-02-19,36.432,36.992,37.212,36.392,61693.0
2025-02-20,36.812,36.652,37.232,36.232,59959.0
2025-02-21,36.702,38.582,38.972,36.702,148668.0
2025-02-24,38.592,42.472,42.472,38.112,144653.0
2025-02-25,40.342,42.822,46.722,40.132,268220.0
2025-02-26,42.652,41.932,42.732,40.732,152586.0
2025-02-27,41.562,40.282,41.932,39.502,133802.0
2025-02-28,39.512,36.232,40.112,36.232,120957.0
2025-03-03,36.362,35.492,36.732,35.082,78769.0
2025-03-04,34.982,36.632,37.732,34.862,85476.0
2025-03-05,38.732,37.042,39.232,36.372,100240.0
2025-03-06,37.252,37.572,38.412,37.052,82103.0
2025-03-07,37.462,36.602,37.832,36.332,66164.0
2025-03-10,36.632,37.312,37.652,36.242,61994.0
2025-03-11,36.422,36.172,37.272,35.912,68335.0
2025-03-12,36.602,36.892,37.832,36.252,86733.0
2025-03-13,36.912,36.402,37.572,36.242,69770.0
2025-03-14,36.152,37.122,38.432,36.012,96284.0
2025-03-17,37.282,37.882,39.202,37.282,101617.0
2025-03-18,37.882,37.372,38.082,37.012,55859.0
2025-03-19,37.032,35.912,37.112,35.852,67897.0
2025-03-20,35.872,35.792,36.132,35.632,35501.0
2025-03-21,35.542,34.992,35.872,34.992,41135.0
2025-03-24,34.932,34.612,35.332,33.632,72333.0
2025-03-25,34.452,33.702,34.882,33.472,43200.0
2025-03-26,33.612,33.782,34.062,33.592,24019.0
2025-03-27,33.832,33.852,34.242,33.382,31245.0
2025-03-28,33.852,33.542,34.112,33.372,23190.0
2025-03-31,33.542,33.582,34.662,33.272,44795.0
2025-04-01,33.682,33.752,34.112,33.392,33566.0
2025-04-02,33.792,34.092,34.832,33.642,42334.0
2025-04-03,33.242,33.732,34.022,33.232,36174.0
2025-04-07,31.732,30.332,32.622,30.332,60448.0
