code,date,direction,shares,price,commission,stamp_tax,pnl
600031.SH,2023-08-09,sell,154700,16.464,636.73,2546.91,-194108.19
601166.SH,2023-08-09,buy,8700,16.516,35.92,0.0,0.0
600837.SH,2023-08-11,sell,274900,10.519,722.95,2891.8,150197.3
600030.SH,2023-08-11,sell,126700,24.076,762.6,3050.42,309683.32
601166.SH,2023-08-11,sell,8700,16.084,34.98,139.93,-3938.53
600016.SH,2023-08-11,sell,696100,3.956,688.45,2753.8,11948.52
600519.SH,2023-08-14,sell,200,1801.197,90.06,360.24,-6286.61
600809.SH,2023-08-14,sell,9800,224.046,548.91,2195.65,-14301.41
600690.SH,2024-02-07,buy,116100,24.014,697.01,0.0,0.0
601088.SH,2024-02-07,buy,59200,38.629,571.7,0.0,0.0
000333.SZ,2024-02-07,buy,44900,61.171,686.65,0.0,0.0
601288.SH,2024-02-07,buy,692900,4.024,697.06,0.0,0.0
300124.SZ,2024-02-07,buy,30100,62.062,467.02,0.0,0.0
601398.SH,2024-02-07,buy,273800,5.235,358.35,0.0,0.0
601088.SH,2024-03-12,sell,59200,37.143,549.71,2198.85,-90706.15
601398.SH,2024-03-12,sell,273800,5.195,355.58,1422.34,-12847.65
300274.SZ,2024-03-12,buy,100,108.849,2.72,0.0,0.0
002049.SZ,2024-03-12,buy,100,71.782,1.79,0.0,0.0
601288.SH,2024-03-13,sell,692900,4.116,712.97,2851.89,60084.93
300014.SZ,2024-03-13,buy,40500,42.542,430.74,0.0,0.0
000333.SZ,2024-03-20,sell,44900,61.818,693.91,2775.63,25581.21
002594.SZ,2024-03-20,buy,11300,218.698,617.82,0.0,0.0
600690.SH,2024-03-21,sell,116100,23.267,675.32,2701.27,-90135.79
300124.SZ,2024-03-21,sell,30100,61.229,460.75,1842.98,-27385.76
300750.SZ,2024-03-21,buy,9800,189.269,463.71,0.0,0.0
002714.SZ,2024-03-21,buy,62000,42.743,662.51,0.0,0.0
002049.SZ,2024-03-26,sell,100,64.216,1.61,6.42,-764.63
002475.SZ,2024-03-26,buy,64600,30.981,500.34,0.0,0.0
300014.SZ,2024-03-27,sell,40500,38.801,392.86,1571.45,-153488.58
601328.SH,2024-03-27,buy,417300,6.436,671.48,0.0,0.0
002594.SZ,2024-03-29,sell,11300,202.857,573.07,2292.28,-181874.76
601857.SH,2024-03-29,buy,188200,9.89,465.32,0.0,0.0
002475.SZ,2024-04-08,sell,64600,28.012,452.39,1809.57,-194058.72
600031.SH,2024-04-08,buy,150300,15.095,567.2,0.0,0.0
300274.SZ,2024-04-10,sell,100,99.47,2.49,9.95,-950.26
003816.SZ,2024-04-10,buy,444600,4.114,457.28,0.0,0.0
002714.SZ,2024-04-12,sell,62000,42.138,653.14,2612.54,-40768.24
